	    ID 	             X 	              Y 	              Z 	  DX 	  DY 	  DZ 	  BV 	        AbsMag 	
	     0 	 12782.0436188 	 -32948.3430398 	 -22275.0861579 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6295092719 	
	     1 	 32732.8281953 	 -85588.2082056 	 -57850.9240084 	 0.0 	 0.0 	 0.0 	 0.0 	 15.7478767123 	
	     2 	 23037.1807432 	 -59188.7495109 	 -39927.7293872 	 0.0 	 0.0 	 0.0 	 0.0 	 16.7319041872 	
	     3 	 12470.9830199 	 -33077.1003331 	 -22301.7567718 	 0.0 	 0.0 	 0.0 	 0.0 	 19.7392824495 	
	     4 	 16070.8134281 	  -42039.948313 	 -28246.9725205 	 0.0 	 0.0 	 0.0 	 0.0 	 19.0358445296 	
	     5 	 21806.5456987 	  -57898.468877 	 -38897.6376222 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6580246251 	
	     6 	 21944.1546088 	 -58585.0578293 	 -39201.3476145 	 0.0 	 0.0 	 0.0 	 0.0 	  17.968209147 	
	     7 	 18948.0992285 	 -50555.1726704 	 -33785.7416669 	 0.0 	 0.0 	 0.0 	 0.0 	  19.023340138 	
	     8 	 27568.2221529 	 -72704.7998132 	 -48692.3789589 	 0.0 	 0.0 	 0.0 	 0.0 	  15.235926966 	
	     9 	 23230.0671942 	 -59789.3070834 	 -39937.8594563 	 0.0 	 0.0 	 0.0 	 0.0 	 15.4680933806 	
	    10 	 4781.81329602 	 -12361.1375095 	 -8257.97345699 	 0.0 	 0.0 	 0.0 	 0.0 	 19.9535123913 	
	    11 	 17524.5085799 	 -45023.7976504 	 -29764.3354812 	 0.0 	 0.0 	 0.0 	 0.0 	 19.4660894032 	
	    12 	 25848.4232669 	 -67475.2559839 	 -44616.8137445 	 0.0 	 0.0 	 0.0 	 0.0 	 16.7774100775 	
	    13 	  24344.500115 	 -62942.0393067 	 -41644.6439707 	 0.0 	 0.0 	 0.0 	 0.0 	 18.0982217167 	
	    14 	 22041.5991466 	 -57147.9602443 	  -37459.918586 	 0.0 	 0.0 	 0.0 	 0.0 	 18.1470150267 	
	    15 	 34852.7260566 	 -84599.3337072 	   -58531.97806 	 0.0 	 0.0 	 0.0 	 0.0 	 17.7973234158 	
	    16 	  17112.900575 	 -41510.5682073 	 -28481.2831384 	 0.0 	 0.0 	 0.0 	 0.0 	 19.0111527439 	
	    17 	 17705.8993866 	 -42744.0759389 	 -29299.0314823 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6872410605 	
	    18 	  28941.940198 	 -70107.3045897 	 -48005.3964372 	 0.0 	 0.0 	 0.0 	 0.0 	 17.4747621215 	
	    19 	  16118.245362 	 -38994.7115665 	 -26641.3136077 	 0.0 	 0.0 	 0.0 	 0.0 	 19.1063317395 	
	    20 	 14789.4670561 	 -35628.5732959 	 -24229.1322449 	 0.0 	 0.0 	 0.0 	 0.0 	 18.8481158946 	
	    21 	 3492.52383645 	 -8405.69000033 	 -5708.04432162 	 0.0 	 0.0 	 0.0 	 0.0 	 17.9011061239 	
	    22 	 21383.6802936 	 -52485.8307416 	 -35734.6658513 	 0.0 	 0.0 	 0.0 	 0.0 	 15.8278661325 	
	    23 	  38104.246492 	 -93063.1370875 	 -63035.2438213 	 0.0 	 0.0 	 0.0 	 0.0 	 17.2897327599 	
	    24 	 42854.4560006 	 -106108.134845 	  -71946.338869 	 0.0 	 0.0 	 0.0 	 0.0 	 17.6526169701 	
	    25 	 11400.1001869 	 -27976.6580966 	 -18876.5949863 	 0.0 	 0.0 	 0.0 	 0.0 	 18.2996702645 	
	    26 	 22527.4691645 	 -54492.3565372 	 -36703.8169241 	 0.0 	 0.0 	 0.0 	 0.0 	  15.544703927 	
	    27 	 39996.5010243 	 -96851.7955062 	  -65020.928963 	 0.0 	 0.0 	 0.0 	 0.0 	 17.8980346411 	
	    28 	 28200.9650108 	 -67698.5672313 	 -45513.2816291 	 0.0 	 0.0 	 0.0 	 0.0 	 15.7975065185 	
	    29 	 20072.6589388 	 -47729.7183405 	 -32029.5436019 	 0.0 	 0.0 	 0.0 	 0.0 	  16.214220058 	
	    30 	 8170.45435755 	 -19843.0294906 	 -13284.8770012 	 0.0 	 0.0 	 0.0 	 0.0 	 18.3666624348 	
	    31 	 53029.3448602 	  -129832.47981 	 -86886.2559477 	 0.0 	 0.0 	 0.0 	 0.0 	 15.2330376302 	
	    32 	 25716.6842701 	 -63103.0663006 	 -42113.0731228 	 0.0 	 0.0 	 0.0 	 0.0 	 17.0368796869 	
	    33 	 17151.9216405 	 -39809.4291457 	 -27038.7121236 	 0.0 	 0.0 	 0.0 	 0.0 	 19.8106474263 	
	    34 	 9516.08569582 	 -22170.6874379 	 -14969.9246726 	 0.0 	 0.0 	 0.0 	 0.0 	 20.5149323715 	
	    35 	 39139.1082483 	 -90121.5953947 	 -60797.1503557 	 0.0 	 0.0 	 0.0 	 0.0 	 14.8252737098 	
	    36 	 22270.5569264 	 -51837.6663432 	 -34858.4995686 	 0.0 	 0.0 	 0.0 	 0.0 	 19.2408352491 	
	    37 	 14790.7770236 	 -34341.3866252 	 -23043.4263251 	 0.0 	 0.0 	 0.0 	 0.0 	 18.7570125821 	
	    38 	 38263.0617536 	 -90165.4395884 	 -60440.9842136 	 0.0 	 0.0 	 0.0 	 0.0 	 16.3787943848 	
	    39 	 11235.6338071 	 -26290.1922235 	 -17636.3235195 	 0.0 	 0.0 	 0.0 	 0.0 	 19.8027858538 	
	    40 	 20853.9865615 	 -47804.1915015 	 -32075.8794653 	 0.0 	 0.0 	 0.0 	 0.0 	 18.8646627483 	
	    41 	 42013.2345296 	  -96892.848154 	 -63908.7222881 	 0.0 	 0.0 	 0.0 	 0.0 	 15.3520133159 	
	    42 	 27454.5316521 	 -65099.2377397 	 -43537.0135522 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6381991569 	
	    43 	 8012.49911965 	 -19074.0788887 	 -12715.3598393 	 0.0 	 0.0 	 0.0 	 0.0 	 20.5004261594 	
	    44 	   12355.03586 	 -29068.2364347 	   -19280.40103 	 0.0 	 0.0 	 0.0 	 0.0 	 19.1896293145 	
	    45 	  35629.909753 	 -83502.3651711 	 -55306.5808237 	 0.0 	 0.0 	 0.0 	 0.0 	 16.3247671691 	
	    46 	  44724.471238 	 -105540.195523 	 -69929.0095698 	 0.0 	 0.0 	 0.0 	 0.0 	 16.6530364901 	
	    47 	 30734.1498346 	  -72358.276998 	 -47871.8723756 	 0.0 	 0.0 	 0.0 	 0.0 	 17.7728530197 	
	    48 	 19444.4416885 	 -45717.3561129 	 -30135.6765372 	 0.0 	 0.0 	 0.0 	 0.0 	 19.1667941385 	
	    49 	 45488.0202685 	 -107838.694078 	 -71192.3749467 	 0.0 	 0.0 	 0.0 	 0.0 	 15.9347019435 	
	    50 	 23372.0835534 	 -54749.4362249 	  -35977.226616 	 0.0 	 0.0 	 0.0 	 0.0 	 17.3991349205 	
	    51 	 24855.9200829 	  -58266.175173 	 -38266.3643101 	 0.0 	 0.0 	 0.0 	 0.0 	 17.9827080768 	
	    52 	 36354.4679714 	 -85782.8143576 	 -56222.8304499 	 0.0 	 0.0 	 0.0 	 0.0 	 17.8707035379 	
	    53 	 15580.6643922 	  -36589.006259 	 -23966.7475717 	 0.0 	 0.0 	 0.0 	 0.0 	 15.6954360026 	
	    54 	 26264.6180183 	  -61517.112311 	 -40142.9785782 	 0.0 	 0.0 	 0.0 	 0.0 	 15.3581303492 	
	    55 	  19366.717433 	 -45246.5829865 	 -29297.9510283 	 0.0 	 0.0 	 0.0 	 0.0 	 19.0762655074 	
	    56 	 18515.0290198 	 -43279.3075387 	 -27994.8470869 	 0.0 	 0.0 	 0.0 	 0.0 	  19.203211151 	
	    57 	 30591.3886461 	 -76679.8638237 	 -51668.0078455 	 0.0 	 0.0 	 0.0 	 0.0 	 18.3418676047 	
	    58 	 19805.2599297 	 -49592.8113743 	 -33377.4219529 	 0.0 	 0.0 	 0.0 	 0.0 	 18.8105669836 	
	    59 	 19003.6960208 	  -47420.658686 	 -31870.4094727 	 0.0 	 0.0 	 0.0 	 0.0 	 18.4085185471 	
	    60 	 52535.4463611 	 -130322.951235 	 -87183.4278892 	 0.0 	 0.0 	 0.0 	 0.0 	 16.6817826081 	
	    61 	 37555.5988003 	 -93469.5016815 	 -62250.0537998 	 0.0 	 0.0 	 0.0 	 0.0 	 18.4517113282 	
	    62 	 21631.5047339 	 -54875.7468999 	 -36409.6072727 	 0.0 	 0.0 	 0.0 	 0.0 	 18.3624644933 	
	    63 	 16989.5909795 	 -41726.1409433 	  -27748.129299 	 0.0 	 0.0 	 0.0 	 0.0 	 17.6437115902 	
	    64 	 14768.7900245 	 -36343.8571763 	 -23934.2429444 	 0.0 	 0.0 	 0.0 	 0.0 	  15.563477027 	
	    65 	 7247.80885965 	 -18040.9127617 	 -11860.3450902 	 0.0 	 0.0 	 0.0 	 0.0 	 19.2157548092 	
	    66 	 10163.8147132 	 -25035.2101743 	 -16316.2485907 	 0.0 	 0.0 	 0.0 	 0.0 	 20.3786448035 	
	    67 	  12094.318554 	 -30869.4972102 	 -20408.6339038 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6281234933 	
	    68 	 32168.1729826 	 -81631.1868621 	 -53676.6043466 	 0.0 	 0.0 	 0.0 	 0.0 	 15.5105739245 	
	    69 	 16874.2702202 	 -43394.2991221 	  -28274.698739 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6481257784 	
	    70 	 12277.5339368 	 -31319.3968049 	 -20336.2207243 	 0.0 	 0.0 	 0.0 	 0.0 	 19.8589533056 	
	    71 	 30000.9458733 	   -74799.01344 	 -48310.5571437 	 0.0 	 0.0 	 0.0 	 0.0 	 16.8869222686 	
	    72 	 18052.3512544 	 -45062.1192636 	 -29110.5283575 	 0.0 	 0.0 	 0.0 	 0.0 	 15.5525466494 	
	    73 	  21013.573298 	 -52483.7504931 	 -33660.7386032 	 0.0 	 0.0 	 0.0 	 0.0 	 18.0049401028 	
	    74 	 24676.9938494 	 -59750.2870998 	 -39090.6464802 	 0.0 	 0.0 	 0.0 	 0.0 	 18.2289364362 	
	    75 	 13751.8932924 	 -33051.9020138 	 -21558.7749328 	 0.0 	 0.0 	 0.0 	 0.0 	 19.9242188841 	
	    76 	 45878.3956013 	 -110185.463849 	  -71838.055569 	 0.0 	 0.0 	 0.0 	 0.0 	 16.6112790008 	
	    77 	 15545.1634375 	 -37843.3761149 	 -24634.2166973 	 0.0 	 0.0 	 0.0 	 0.0 	 18.4469845656 	
	    78 	 22431.0986936 	 -53884.7422675 	 -34857.4227549 	 0.0 	 0.0 	 0.0 	 0.0 	 17.9846075408 	
	    79 	 6442.02018095 	 -15142.3741898 	 -9789.63159574 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6741220034 	
