# Name: V/50
# Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
# Coosys	J2000_2000.000:	eq_FK5 J2000
# Table	V_50_catalog:
# Name: V/50/catalog
# Title: The main part of the Catalogue
# Column	RA	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
# Column	DEC	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
# Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
# Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
      RA |      DEC |     HD |  Vmag
  1.2913 |  45.2292 |      3 |   6.7
  1.2658 |  -0.5031 |      6 |  6.29
  1.3337 |  -5.7075 |     28 |  4.61
   1.425 |  13.3961 |     87 |  5.51
  1.5667 |  58.4367 |    123 |  5.96
  1.5792 |  -49.075 |    142 |   5.7
  1.6104 |  64.1961 |    144 |  5.59
  1.6533 |  29.0214 |    166 |  6.13
  1.7087 | -23.1075 |    203 |  6.18
  1.8258 | -17.3864 |    256 |  6.19
  1.9337 |  -2.5489 |    315 |  6.43
   1.945 | -22.5089 |    319 |  5.94
  2.0146 | -33.5294 |    344 |  5.68
  2.0504 |  -2.4478 |    352 |  6.07
  2.0971 |  29.0906 |    358 |  2.06
  2.0725 |  -8.8239 |    360 |  5.99
  2.1708 |  36.6267 |    400 |  6.19
  2.1392 | -17.5775 |    402 |  6.06
  2.2175 |  25.4628 |    417 |  6.23
  2.3342 |  79.7147 |    431 |  6.01
  2.2946 |  59.1497 |    432 |  2.27
    2.26 |  18.2119 |    448 |  5.53
    2.26 | -54.0019 |    469 |  6.33
  2.3375 | -27.9878 |    493 |  5.42
  2.3529 | -45.7475 |    496 |  3.88
  2.5096 |  11.1456 |    560 |  5.51
  2.5804 |  46.0722 |    571 |  5.03
  2.6237 |  57.1656 |    584 |  6.74
  2.5783 |  -5.2486 |    587 |  5.84
  2.5087 | -82.2239 |    636 |  5.28
